run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-critical-boundary-all-resident,formal run,critical-boundary,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,2438,2438,0,0,True,True,0,0,17.617,10555,5248,1610,1320
formal-01-critical-boundary-index-only,formal run,critical-boundary,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,477,2619,5,2142,True,True,0,0,21.53,32046,30080,1045,518
formal-01-critical-boundary-selective-resident,formal run,critical-boundary,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,812,3136,2,2324,True,True,0,0,56.546,32616,30592,5038,4450
formal-01-reference-detail-all-resident,formal run,reference-detail,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,4,4,0,0,0.556,batch_average,9,2438,2663,1,225,True,True,0,0,11.468,21567,19840,463,335
formal-01-reference-detail-index-only,formal run,reference-detail,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,4,4,0,0,0.556,batch_average,9,477,2324,2,1847,True,True,0,0,17.155,31504,29696,389,184
formal-01-reference-detail-selective-resident,formal run,reference-detail,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,4,4,0,0,0.556,batch_average,9,812,2794,5,1982,True,True,0,0,22.06,43672,39296,964,564
formal-01-status-conflict-all-resident,formal run,status-conflict,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,2438,3912,2,1474,True,True,0,0,25.186,33067,30848,1220,761
formal-01-status-conflict-index-only,formal run,status-conflict,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,477,2122,4,1645,True,True,0,0,19.001,32114,30208,1087,573
formal-01-status-conflict-selective-resident,formal run,status-conflict,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,812,4348,5,3536,True,True,0,0,25.322,32787,30464,916,447
formal-01-volatile-state-all-resident,formal run,volatile-state,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,2438,2957,1,519,True,True,0,0,10.542,21478,19712,438,257
formal-01-volatile-state-index-only,formal run,volatile-state,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,477,996,1,519,True,True,0,0,11.913,20457,19072,453,254
formal-01-volatile-state-selective-resident,formal run,volatile-state,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,812,1331,1,519,True,True,0,0,11.043,20576,19200,282,130
formal-02-critical-boundary-all-resident,formal run,critical-boundary,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,2438,2438,0,0,True,True,0,0,29.846,10571,8960,2190,1902
formal-02-critical-boundary-index-only,formal run,critical-boundary,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,477,2754,6,2277,True,True,0,0,40.903,43002,40832,1868,1294
formal-02-critical-boundary-selective-resident,formal run,critical-boundary,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,812,2966,2,2154,True,True,0,0,28.668,32630,30720,1831,1425
formal-02-reference-detail-all-resident,formal run,reference-detail,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,4,4,0,0,0.556,batch_average,9,2438,2663,1,225,True,True,0,0,13.621,21382,19584,308,182
formal-02-reference-detail-index-only,formal run,reference-detail,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,4,4,0,0,0.556,batch_average,9,477,2324,4,1847,True,True,0,0,17.328,31872,30080,515,259
formal-02-reference-detail-selective-resident,formal run,reference-detail,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,4,4,0,0,0.556,batch_average,9,812,2659,2,1847,True,True,0,0,25.911,31853,29952,446,220
formal-02-status-conflict-all-resident,formal run,status-conflict,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,2438,4133,4,1695,True,True,0,0,38.546,33334,31104,1299,695
formal-02-status-conflict-index-only,formal run,status-conflict,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,477,2099,1,1622,True,True,0,0,18.829,20711,19072,752,412
formal-02-status-conflict-selective-resident,formal run,status-conflict,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,812,3737,5,2925,True,True,0,0,29.733,44001,41728,1990,1312
formal-02-volatile-state-all-resident,formal run,volatile-state,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,2438,2957,1,519,True,True,0,0,15.322,21824,19968,743,562
formal-02-volatile-state-index-only,formal run,volatile-state,index-only,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,477,996,1,519,True,True,0,0,21.083,20496,19200,412,238
formal-02-volatile-state-selective-resident,formal run,volatile-state,selective-resident,deepseek-v4-flash,max,codex-cli 0.146.0,5,5,0,0,0.556,batch_average,9,812,1331,1,519,True,True,0,0,12.082,20633,19200,468,289
formal-03-critical-boundary-all-resident,formal run,critical-boundary,all-resident,deepseek-v4-flash,max,codex-cli 0.146.0,6,6,0,0,0.556,batch_average,9,2438,2438,0,0,True,True,0,0,21.336,10579,8960,760,514
