run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-critical-boundary-all-resident,formal run,critical-boundary,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.07963,batch_average,9,2438,2438,0,0,True,True,0,0,27.864,21345,3840,316,19
formal-01-critical-boundary-index-only,formal run,critical-boundary,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,6,0,0,0.07963,batch_average,9,477,1711,1,1234,True,True,0,0,32.365,42148,24064,459,164
formal-01-critical-boundary-selective-resident,formal run,critical-boundary,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.07963,batch_average,9,812,3585,4,2773,True,True,0,0,40.969,64704,45312,948,205
formal-01-reference-detail-all-resident,formal run,reference-detail,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,2438,2438,0,0,True,True,0,0,22.907,21307,20224,92,0
formal-01-reference-detail-index-only,formal run,reference-detail,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,477,1139,2,662,True,True,0,0,34.055,63180,60672,416,38
formal-01-reference-detail-selective-resident,formal run,reference-detail,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,812,1606,2,794,True,True,0,0,33.643,63538,44288,487,51
formal-01-status-conflict-all-resident,formal run,status-conflict,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,2438,2438,0,0,True,True,0,0,24.076,21332,3840,227,50
formal-01-status-conflict-index-only,formal run,status-conflict,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,477,1711,1,1234,True,True,0,0,32.884,42161,40448,492,172
formal-01-status-conflict-selective-resident,formal run,status-conflict,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,812,4087,5,3275,True,True,0,0,45.768,64651,44288,1083,120
formal-01-volatile-state-all-resident,formal run,volatile-state,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,2438,2438,0,0,True,True,0,0,21.214,21299,19200,119,0
formal-01-volatile-state-index-only,formal run,volatile-state,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,477,996,1,519,True,True,0,0,30.974,41854,24064,294,0
formal-01-volatile-state-selective-resident,formal run,volatile-state,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,812,1331,1,519,True,True,0,0,36.671,42045,24064,301,0
formal-02-critical-boundary-all-resident,formal run,critical-boundary,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.07963,batch_average,9,2438,2438,0,0,True,True,0,0,23.1,21348,20224,272,0
formal-02-critical-boundary-index-only,formal run,critical-boundary,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,6,0,0,0.07963,batch_average,9,477,1711,1,1234,True,True,0,0,30.756,42141,24064,441,147
formal-02-critical-boundary-selective-resident,formal run,critical-boundary,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.07963,batch_average,9,812,3983,3,3171,True,True,0,0,56.915,87090,66560,982,252
formal-02-reference-detail-all-resident,formal run,reference-detail,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,2438,2438,0,0,True,True,0,0,24.973,21307,3840,92,0
formal-02-reference-detail-index-only,formal run,reference-detail,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,477,1090,2,613,True,True,0,0,38.231,63098,60672,318,0
formal-02-reference-detail-selective-resident,formal run,reference-detail,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,812,3135,3,2323,True,True,0,0,31.985,64377,61696,531,11
formal-02-status-conflict-all-resident,formal run,status-conflict,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,2438,2438,0,0,True,True,0,0,24.882,21338,19200,362,63
formal-02-status-conflict-index-only,formal run,status-conflict,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,477,1711,1,1234,True,True,0,0,33.887,42129,24064,540,198
formal-02-status-conflict-selective-resident,formal run,status-conflict,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,812,4795,2,3983,True,True,0,0,40.401,64940,61696,797,103
formal-02-volatile-state-all-resident,formal run,volatile-state,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,2438,2438,0,0,True,True,0,0,23.669,21296,3840,119,0
formal-02-volatile-state-index-only,formal run,volatile-state,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,477,996,1,519,True,True,0,0,28.302,41855,24064,295,0
formal-02-volatile-state-selective-resident,formal run,volatile-state,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,812,1331,1,519,True,True,0,0,26.514,42031,39424,299,0
formal-03-critical-boundary-all-resident,formal run,critical-boundary,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.07963,batch_average,9,2438,2438,0,0,True,True,0,0,23.439,21345,20224,375,67
formal-03-critical-boundary-index-only,formal run,critical-boundary,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,6,0,0,0.07963,batch_average,9,477,1711,1,1234,True,True,0,0,27.623,42128,24064,383,77
formal-03-critical-boundary-selective-resident,formal run,critical-boundary,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.07963,batch_average,9,812,3587,6,2775,True,True,0,0,48.881,87105,82944,1253,284
formal-03-reference-detail-all-resident,formal run,reference-detail,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,2438,2438,0,0,True,True,0,0,19.983,21304,3840,92,0
formal-03-reference-detail-index-only,formal run,reference-detail,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,477,1090,2,613,True,True,0,0,37.604,63142,60672,390,8
formal-03-reference-detail-selective-resident,formal run,reference-detail,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.038889,batch_average,9,812,2132,3,1320,True,True,0,0,34.518,63734,60672,485,12
formal-03-status-conflict-all-resident,formal run,status-conflict,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,2438,2438,0,0,True,True,0,0,31.088,21335,3840,445,133
formal-03-status-conflict-index-only,formal run,status-conflict,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,477,1711,1,1234,True,True,0,0,29.612,42125,40448,527,130
formal-03-status-conflict-selective-resident,formal run,status-conflict,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,812,3163,4,2351,True,True,0,0,46.386,64334,51456,1030,148
formal-03-volatile-state-all-resident,formal run,volatile-state,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,2438,2438,0,0,True,True,0,0,20.856,21305,20224,140,0
formal-03-volatile-state-index-only,formal run,volatile-state,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,477,996,1,519,True,True,0,0,28.448,41847,40448,292,0
formal-03-volatile-state-selective-resident,formal run,volatile-state,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.014815,batch_average,9,812,1331,1,519,True,True,0,0,29.827,42043,40448,328,19
