run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-critical-boundary-all-resident,formal run,critical-boundary,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,6,6,0,0,0.057024,batch_average,9,2438,2438,0,0,True,True,0,0,21.015,16138,3840,390,0
formal-01-critical-boundary-index-only,formal run,critical-boundary,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,6,0,0,0.057024,batch_average,9,477,5593,4,5116,True,True,0,0,59.36,101283,83456,1117,474
formal-01-critical-boundary-selective-resident,formal run,critical-boundary,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,6,0,0,0.057024,batch_average,9,812,1193,1,381,True,True,0,0,39.86,48052,34048,658,246
formal-01-reference-detail-all-resident,formal run,reference-detail,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.0171,batch_average,9,2438,2438,0,0,True,True,0,0,15.453,16094,3840,92,0
formal-01-reference-detail-index-only,formal run,reference-detail,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,0,4,0,0,0.0171,batch_average,9,477,2500,3,2023,True,True,0,0,45.484,80837,66304,624,210
formal-01-reference-detail-selective-resident,formal run,reference-detail,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.0171,batch_average,9,812,3389,5,2577,True,True,0,0,54.281,115060,107776,823,204
formal-01-status-conflict-all-resident,formal run,status-conflict,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.025806,batch_average,9,2438,2438,0,0,True,True,0,0,20.641,16125,3840,249,0
formal-01-status-conflict-index-only,formal run,status-conflict,index-only,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.025806,batch_average,9,477,5728,4,5251,True,True,0,0,50.875,84154,76544,928,220
formal-01-status-conflict-selective-resident,formal run,status-conflict,selective-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.025806,batch_average,9,812,4730,3,3918,True,True,0,0,56.984,83180,75520,1234,495
formal-01-volatile-state-all-resident,formal run,volatile-state,all-resident,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.04695,batch_average,9,2438,2438,0,0,True,True,0,0,17.047,16086,3840,151,0
