run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-conflicting-evidence-direct-promotion,formal run,conflicting-evidence,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.06,batch_average,10,696,4843,3,4147,True,True,0,0,30.631,32545,29952,2045,1532
formal-01-conflicting-evidence-rule-gated,formal run,conflicting-evidence,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.06,batch_average,10,830,5330,4,4500,True,True,0,0,22.956,32547,29952,1321,726
formal-01-conflicting-evidence-staged-human-gate,formal run,conflicting-evidence,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.06,batch_average,10,899,5377,4,4478,True,True,0,0,30.258,32564,29952,1890,1284
formal-01-expired-scope-direct-promotion,formal run,expired-scope,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.06,batch_average,10,696,5746,5,5050,True,True,0,0,31.551,44232,41472,1644,1037
formal-01-expired-scope-rule-gated,formal run,expired-scope,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.038,batch_average,10,830,5310,3,4480,True,True,0,0,25.439,32733,30080,1718,1155
formal-01-expired-scope-staged-human-gate,formal run,expired-scope,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.038,batch_average,10,899,5782,4,4883,True,True,0,0,23.512,43846,40960,1052,436
formal-01-one-off-success-direct-promotion,formal run,one-off-success,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,2,4,0,0,0.06,batch_average,10,696,5594,4,4898,True,True,0,0,41.518,43598,40704,2983,2373
formal-01-one-off-success-rule-gated,formal run,one-off-success,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.06,batch_average,10,830,5330,3,4500,True,True,0,0,22.029,32720,30080,821,398
formal-01-one-off-success-staged-human-gate,formal run,one-off-success,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.06,batch_average,10,899,5415,3,4516,True,True,0,0,24.443,32770,30080,1259,617
formal-01-repeated-evidence-direct-promotion,formal run,repeated-evidence,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.06,batch_average,10,696,6709,5,6013,True,True,0,0,27.571,46059,42880,2054,1455
formal-01-repeated-evidence-rule-gated,formal run,repeated-evidence,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.06,batch_average,10,830,6005,4,5175,True,True,0,0,25.083,56185,53120,1337,704
formal-01-repeated-evidence-staged-human-gate,formal run,repeated-evidence,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.06,batch_average,10,899,3926,6,3027,True,True,0,0,28.102,43972,41344,1551,864
formal-01-sensitive-record-direct-promotion,formal run,sensitive-record,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,6,7,0,0,0.038,batch_average,10,696,3130,5,2434,True,True,0,0,27.219,43373,41216,1498,983
formal-01-sensitive-record-rule-gated,formal run,sensitive-record,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,0,0,0.038,batch_average,10,830,4879,4,4049,True,True,0,0,21.861,32716,30080,1240,655
formal-01-sensitive-record-staged-human-gate,formal run,sensitive-record,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,0,0,0.038,batch_average,10,899,3911,6,3012,True,True,0,0,25.378,44367,41856,1410,781
formal-02-conflicting-evidence-direct-promotion,formal run,conflicting-evidence,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.075,batch_average,10,696,4656,4,3960,True,True,0,0,47.663,32436,29952,4311,3576
formal-02-conflicting-evidence-rule-gated,formal run,conflicting-evidence,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.075,batch_average,10,830,4891,8,4061,True,True,0,0,24.63,43997,41216,1492,713
formal-02-conflicting-evidence-staged-human-gate,formal run,conflicting-evidence,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.075,batch_average,10,899,5510,3,4611,True,True,0,0,28.685,43317,40704,1216,685
formal-02-expired-scope-direct-promotion,formal run,expired-scope,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.075,batch_average,10,696,2717,4,2021,True,True,0,0,21.496,31860,29824,1615,1040
formal-02-expired-scope-rule-gated,formal run,expired-scope,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.075,batch_average,10,830,5037,6,4207,True,True,0,0,30.33,44045,41216,2090,1343
formal-02-expired-scope-staged-human-gate,formal run,expired-scope,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.075,batch_average,10,899,5796,5,4897,True,True,0,0,27.109,55930,52992,1711,1078
formal-02-one-off-success-direct-promotion,formal run,one-off-success,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,2,4,0,0,0.038,batch_average,10,696,5594,4,4898,True,True,0,0,76.856,32811,30080,7754,7058
formal-02-one-off-success-rule-gated,formal run,one-off-success,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.075,batch_average,10,830,3644,5,2814,True,True,0,0,25.992,43901,41344,1566,846
formal-02-one-off-success-staged-human-gate,formal run,one-off-success,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.038,batch_average,10,899,5710,3,4811,True,True,0,0,19.965,33086,30336,1239,646
formal-02-repeated-evidence-direct-promotion,formal run,repeated-evidence,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.038,batch_average,10,696,4843,3,4147,True,True,0,0,23.959,32664,30080,1672,1150
formal-02-repeated-evidence-rule-gated,formal run,repeated-evidence,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.038,batch_average,10,830,5346,3,4516,True,True,0,0,18.235,32786,30208,1046,502
formal-02-repeated-evidence-staged-human-gate,formal run,repeated-evidence,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.038,batch_average,10,899,4065,4,3166,True,True,0,0,24.056,44095,41728,918,408
formal-02-sensitive-record-direct-promotion,formal run,sensitive-record,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,6,7,0,0,0.075,batch_average,10,696,2450,4,1754,True,True,0,0,17.908,31786,29824,1320,921
formal-02-sensitive-record-rule-gated,formal run,sensitive-record,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,0,0,0.075,batch_average,10,830,4519,3,3689,True,True,0,0,25.368,32639,30208,2028,1394
formal-02-sensitive-record-staged-human-gate,formal run,sensitive-record,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,0,0,0.075,batch_average,10,899,5377,4,4478,True,True,0,0,19.032,32754,30080,1375,779
formal-03-conflicting-evidence-rule-gated,formal run,conflicting-evidence,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.056,batch_average,6,830,5346,3,4516,True,True,0,0,24.455,32759,30080,1484,828
formal-03-expired-scope-staged-human-gate,formal run,expired-scope,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.056,batch_average,6,899,6933,5,6034,True,True,0,0,28.788,45240,41984,1202,543
formal-03-one-off-success-direct-promotion,formal run,one-off-success,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,0.056,batch_average,6,696,5941,4,5245,True,True,0,0,26.307,33050,30208,1983,1432
formal-03-repeated-evidence-rule-gated,formal run,repeated-evidence,rule-gated,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.056,batch_average,6,830,4701,5,3871,True,True,0,0,31.532,45406,42624,1486,834
formal-03-repeated-evidence-staged-human-gate,formal run,repeated-evidence,staged-human-gate,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.056,batch_average,6,899,4660,8,3761,True,True,0,0,20.657,43501,40832,1103,499
formal-03-sensitive-record-direct-promotion,formal run,sensitive-record,direct-promotion,deepseek-v4-flash,max,codex-cli 0.146.1,6,7,0,0,0.056,batch_average,6,696,2687,5,1991,True,True,0,0,38.025,43016,40832,2379,1723
