run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-conflicting-evidence-direct-promotion,formal run,conflicting-evidence,direct-promotion,gpt-5.6-sol,medium,codex-cli 0.144.1,3,4,0,0,0.074204413,batch_average,45,709,5346,8,4637,True,True,0,0,106.047,152535,118528,1999,1032
formal-01-conflicting-evidence-rule-gated,formal run,conflicting-evidence,rule-gated,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.074204413,batch_average,45,844,4784,7,3940,True,True,0,0,80.219,117298,87296,1176,253
formal-01-conflicting-evidence-staged-human-gate,formal run,conflicting-evidence,staged-human-gate,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.074204413,batch_average,45,913,4039,4,3126,True,True,2,1924,82.094,108811,73216,1224,232
formal-01-expired-scope-direct-promotion,formal run,expired-scope,direct-promotion,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.074204413,batch_average,45,709,4538,6,3829,True,True,0,0,80.266,117415,99584,1338,375
formal-01-expired-scope-rule-gated,formal run,expired-scope,rule-gated,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.074204413,batch_average,45,844,3682,6,2838,True,True,4,1657,70.062,128777,107776,1350,362
formal-01-expired-scope-staged-human-gate,formal run,expired-scope,staged-human-gate,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.074204413,batch_average,45,913,6204,4,5291,True,True,2,1694,63.359,112021,91648,1273,273
formal-01-one-off-success-direct-promotion,formal run,one-off-success,direct-promotion,gpt-5.6-sol,medium,codex-cli 0.144.1,1,4,0,0,0.074204413,batch_average,45,709,3605,6,2896,True,True,0,0,80.234,99664,71168,1175,382
formal-01-one-off-success-rule-gated,formal run,one-off-success,rule-gated,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.074204413,batch_average,45,844,8158,5,7314,True,True,0,0,140.25,122158,111872,1376,436
formal-01-one-off-success-staged-human-gate,formal run,one-off-success,staged-human-gate,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.074204413,batch_average,45,913,6273,4,5360,True,True,0,0,108.0,101719,83456,1234,359
formal-01-repeated-evidence-direct-promotion,formal run,repeated-evidence,direct-promotion,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.074204413,batch_average,45,709,4236,8,3527,True,True,0,0,200.25,115639,85248,1320,351
formal-01-repeated-evidence-rule-gated,formal run,repeated-evidence,rule-gated,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.074204413,batch_average,45,844,6427,5,5583,True,True,0,0,231.781,118460,87296,1298,337
formal-01-repeated-evidence-staged-human-gate,formal run,repeated-evidence,staged-human-gate,gpt-5.6-sol,medium,codex-cli 0.144.1,5,5,0,0,0.074204413,batch_average,45,913,4774,5,3861,True,True,2,2135,231.875,109834,89600,1371,251
formal-01-sensitive-record-direct-promotion,formal run,sensitive-record,direct-promotion,gpt-5.6-sol,medium,codex-cli 0.144.1,6,7,0,0,0.074204413,batch_average,45,709,3482,6,2773,True,True,0,0,80.235,134231,103424,1470,553
formal-01-sensitive-record-rule-gated,formal run,sensitive-record,rule-gated,gpt-5.6-sol,medium,codex-cli 0.144.1,7,7,0,0,0.074204413,batch_average,45,844,5839,4,4995,True,True,0,0,50.687,84069,54016,1030,342
formal-01-sensitive-record-staged-human-gate,formal run,sensitive-record,staged-human-gate,gpt-5.6-sol,medium,codex-cli 0.144.1,7,7,0,0,0.074204413,batch_average,45,913,5392,4,4479,True,True,0,0,64.453,84127,76544,1298,349
formal-02-conflicting-evidence-direct-promotion,formal run,conflicting-evidence,direct-promotion,gpt-5.6-sol,medium,codex-cli 0.144.1,3,4,0,0,0.074204413,batch_average,45,709,3709,5,3000,True,True,0,0,91.813,99331,82432,1127,420
formal-02-conflicting-evidence-rule-gated,formal run,conflicting-evidence,rule-gated,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.074204413,batch_average,45,844,7020,5,6176,True,True,0,0,80.219,119936,107776,1203,317
formal-02-conflicting-evidence-staged-human-gate,formal run,conflicting-evidence,staged-human-gate,gpt-5.6-sol,medium,codex-cli 0.144.1,4,4,0,0,0.074204413,batch_average,45,913,9627,11,8714,True,True,0,0,105.812,139240,128000,1356,353
