run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-emergency-revocation-append-only,formal run,emergency-revocation,append-only,deepseek-v4-flash,max,codex-cli 0.146.1,3,6,0,0,0.036999,batch_average,36,748,6639,2,5891,True,True,0,0,54.502,33156,30080,3702,3009
formal-01-emergency-revocation-latest-wins,formal run,emergency-revocation,latest-wins,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,688,3710,4,3022,True,True,0,0,19.724,44150,41728,1027,422
formal-01-emergency-revocation-lifecycle-governed,formal run,emergency-revocation,lifecycle-governed,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,863,3583,5,2720,True,True,0,0,44.08,43976,41600,1249,641
formal-01-explicit-supersession-append-only,formal run,explicit-supersession,append-only,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,748,3521,3,2773,True,True,0,0,18.18,32259,30080,870,451
formal-01-explicit-supersession-latest-wins,formal run,explicit-supersession,latest-wins,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,688,4034,3,3346,True,True,0,0,15.926,32660,30208,942,408
formal-01-explicit-supersession-lifecycle-governed,formal run,explicit-supersession,lifecycle-governed,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,863,3726,3,2863,True,True,0,0,14.761,32716,30336,712,251
formal-01-scope-narrowing-append-only,formal run,scope-narrowing,append-only,deepseek-v4-flash,max,codex-cli 0.146.1,1,6,0,0,0.036999,batch_average,36,748,6378,3,5630,True,True,0,0,34.117,33188,30080,2691,2078
formal-01-scope-narrowing-latest-wins,formal run,scope-narrowing,latest-wins,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,688,3014,4,2326,True,True,0,0,18.918,43390,41216,824,286
formal-01-scope-narrowing-lifecycle-governed,formal run,scope-narrowing,lifecycle-governed,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,0.036999,batch_average,36,863,3562,5,2699,True,True,0,0,16.912,32367,30080,975,425
formal-01-time-expiry-append-only,formal run,time-expiry,append-only,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,0,0,0.036999,batch_average,36,748,3358,5,2610,True,True,0,0,19.997,33070,30848,1492,605
