run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-emergency-revocation-append-only,formal run,emergency-revocation,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,3,6,0,0,0.020081944,batch_average,45,748,3742,5,2994,True,True,0,0,35.515,84336,80640,3858,0
formal-01-emergency-revocation-latest-wins,formal run,emergency-revocation,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.020081944,batch_average,45,688,3613,4,2925,True,True,0,0,53.642,84283,80256,3378,0
formal-01-emergency-revocation-lifecycle-governed,formal run,emergency-revocation,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.020081944,batch_average,45,863,3473,4,2610,True,True,0,0,28.885,63098,60032,2759,0
formal-01-explicit-supersession-append-only,formal run,explicit-supersession,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.020081944,batch_average,45,748,4259,4,3511,True,True,0,0,41.249,63201,58112,3770,0
formal-01-explicit-supersession-latest-wins,formal run,explicit-supersession,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.020081944,batch_average,45,688,3343,3,2655,True,True,0,0,33.497,84346,80256,3338,0
formal-01-explicit-supersession-lifecycle-governed,formal run,explicit-supersession,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.020081944,batch_average,45,863,4374,4,3511,True,True,0,0,30.586,63266,60416,2377,0
formal-01-scope-narrowing-append-only,formal run,scope-narrowing,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.020081944,batch_average,45,748,3020,2,2272,True,True,0,0,28.254,63019,58880,2724,0
formal-01-scope-narrowing-latest-wins,formal run,scope-narrowing,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.020081944,batch_average,45,688,3762,4,3074,True,True,0,0,32.26,62929,57088,2539,0
formal-01-scope-narrowing-lifecycle-governed,formal run,scope-narrowing,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.020081944,batch_average,45,863,3675,4,2812,True,True,0,0,51.164,62876,54656,2395,0
formal-01-time-expiry-append-only,formal run,time-expiry,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.020081944,batch_average,45,748,3666,4,2918,True,True,0,0,30.898,62820,59136,2688,0
formal-01-time-expiry-latest-wins,formal run,time-expiry,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.020081944,batch_average,45,688,2902,2,2214,True,True,0,0,30.03,62948,59264,3034,0
