run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-emergency-revocation-append-only,formal run,emergency-revocation,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,3,6,0,0,0.027378654,batch_average,45,748,4328,5,3580,True,True,3,2421,51.968,137148,127232,1389,377
formal-01-emergency-revocation-latest-wins,formal run,emergency-revocation,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,688,8131,4,7443,True,True,0,0,43.829,91207,81664,980,266
formal-01-emergency-revocation-lifecycle-governed,formal run,emergency-revocation,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,863,7720,4,6857,True,True,0,0,34.828,91226,84736,930,241
formal-01-explicit-supersession-append-only,formal run,explicit-supersession,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.027378654,batch_average,45,748,7573,7,6825,True,True,0,0,47.328,127040,94464,1219,296
formal-01-explicit-supersession-latest-wins,formal run,explicit-supersession,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,688,7252,4,6564,True,True,0,0,74.359,91742,72448,1181,562
formal-01-explicit-supersession-lifecycle-governed,formal run,explicit-supersession,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,863,5323,6,4460,True,True,0,0,49.828,142575,122880,947,203
formal-01-scope-narrowing-append-only,formal run,scope-narrowing,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.027378654,batch_average,45,748,5470,6,4722,True,True,0,0,43.016,88697,82688,1105,240
formal-01-scope-narrowing-latest-wins,formal run,scope-narrowing,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,688,7985,4,7297,True,True,0,0,40.141,91288,84736,815,140
formal-01-scope-narrowing-lifecycle-governed,formal run,scope-narrowing,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,863,7205,4,6342,True,True,0,0,46.406,109377,74240,1047,228
formal-01-time-expiry-append-only,formal run,time-expiry,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.027378654,batch_average,45,748,4243,4,3495,True,True,2,2381,48.109,116293,102912,1273,349
formal-01-time-expiry-latest-wins,formal run,time-expiry,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.027378654,batch_average,45,688,6929,4,6241,True,True,0,0,48.531,108550,94720,1179,395
formal-01-time-expiry-lifecycle-governed,formal run,time-expiry,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.027378654,batch_average,45,863,7132,4,6269,True,True,0,0,38.782,90697,71424,848,212
formal-01-unresolved-conflict-append-only,formal run,unresolved-conflict,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.027378654,batch_average,45,748,7052,4,6304,True,True,0,0,51.375,90385,69376,1260,605
formal-01-unresolved-conflict-latest-wins,formal run,unresolved-conflict,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,1,5,0,0,0.027378654,batch_average,45,688,19210,9,18522,True,True,0,0,50.953,144152,100608,1270,351
formal-01-unresolved-conflict-lifecycle-governed,formal run,unresolved-conflict,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,0,0,0.027378654,batch_average,45,863,8199,4,7336,True,True,0,0,34.75,91587,72448,958,191
formal-02-emergency-revocation-append-only,formal run,emergency-revocation,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,3,6,0,0,0.027378654,batch_average,45,748,4804,7,4056,True,True,0,0,62.406,142680,109568,1673,629
formal-02-emergency-revocation-latest-wins,formal run,emergency-revocation,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,688,6970,5,6282,True,True,0,0,71.86,110551,102912,1046,287
formal-02-emergency-revocation-lifecycle-governed,formal run,emergency-revocation,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,863,11005,6,10142,True,True,0,0,51.719,150489,126976,1268,297
formal-02-explicit-supersession-append-only,formal run,explicit-supersession,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.027378654,batch_average,45,748,4829,6,4081,True,True,0,0,47.891,106835,100864,1220,391
formal-02-explicit-supersession-latest-wins,formal run,explicit-supersession,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,688,8837,4,8149,True,True,0,0,49.406,110343,64000,1263,432
formal-02-explicit-supersession-lifecycle-governed,formal run,explicit-supersession,lifecycle-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,863,7078,4,6215,True,True,0,0,42.594,91170,72448,1032,245
formal-02-scope-narrowing-append-only,formal run,scope-narrowing,append-only,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.027378654,batch_average,45,748,4675,5,3927,True,True,3,2328,67.031,137010,127232,1498,514
formal-02-scope-narrowing-latest-wins,formal run,scope-narrowing,latest-wins,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.027378654,batch_average,45,688,5283,4,4595,True,True,2,2432,42.86,143392,116992,1019,201
