run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-approved-decision-memory-governed,formal run,approved-decision,memory-governed,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,1.111111,batch_average,36,520,8609,4,8089,True,True,0,0,21.093,46143,41984,1149,528
formal-01-approved-decision-rag-only,formal run,approved-decision,rag-only,deepseek-v4-flash,max,codex-cli 0.146.1,3,6,0,0,1.111111,batch_average,36,424,7511,9,7087,True,True,0,0,85.795,53116,49280,7693,6733
formal-01-approved-decision-rag-with-recency,formal run,approved-decision,rag-with-recency,deepseek-v4-flash,max,codex-cli 0.146.1,1,6,0,0,1.111111,batch_average,36,415,7009,3,6594,True,True,0,0,27.316,44906,41472,1784,1297
formal-01-historical-trace-memory-governed,formal run,historical-trace,memory-governed,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,1.111111,batch_average,36,520,9204,5,8684,True,True,0,0,24.675,48333,44032,1592,804
formal-01-historical-trace-rag-only,formal run,historical-trace,rag-only,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,1.111111,batch_average,36,424,7239,8,6815,True,True,0,0,26.329,33421,29696,1810,971
formal-01-historical-trace-rag-with-recency,formal run,historical-trace,rag-with-recency,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,1.111111,batch_average,36,415,7538,2,7123,True,True,0,0,20.721,32977,29440,1400,921
formal-01-scope-bound-rule-memory-governed,formal run,scope-bound-rule,memory-governed,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,1.111111,batch_average,36,520,8669,4,8149,True,True,0,0,21.221,34039,30080,1448,880
formal-01-scope-bound-rule-rag-only,formal run,scope-bound-rule,rag-only,deepseek-v4-flash,max,codex-cli 0.146.1,4,6,0,0,1.111111,batch_average,36,424,7582,2,7158,True,True,0,0,34.233,33154,29568,2828,2258
formal-01-scope-bound-rule-rag-with-recency,formal run,scope-bound-rule,rag-with-recency,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,0,0,1.111111,batch_average,36,415,7274,4,6859,True,True,0,0,20.488,33017,29440,1339,815
formal-01-static-reference-memory-governed,formal run,static-reference,memory-governed,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,1.111111,batch_average,36,520,8634,3,8114,True,True,0,0,18.602,46234,42368,902,387
formal-01-static-reference-rag-only,formal run,static-reference,rag-only,deepseek-v4-flash,max,codex-cli 0.146.1,4,4,0,0,1.111111,batch_average,36,424,7002,4,6578,True,True,0,0,20.949,45089,41600,1122,597
