run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-approved-decision-memory-governed,formal run,approved-decision,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,7228,2,6708,True,True,0,0,21.639,53226,33280,810,202
formal-01-approved-decision-rag-only,formal run,approved-decision,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,424,7485,3,7061,True,True,0,0,40.088,76495,59392,1239,599
formal-01-approved-decision-rag-with-recency,formal run,approved-decision,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.014495681,batch_average,45,415,6946,2,6531,True,True,0,0,24.938,52654,47360,964,380
formal-01-historical-trace-memory-governed,formal run,historical-trace,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,4560,2,4040,True,True,0,0,41.934,101280,0,914,0
formal-01-historical-trace-rag-only,formal run,historical-trace,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,424,4740,4,4316,True,True,0,0,44.941,101161,0,1310,0
formal-01-historical-trace-rag-with-recency,formal run,historical-trace,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,415,4988,2,4573,True,True,0,0,20.302,52327,48384,746,151
formal-01-scope-bound-rule-memory-governed,formal run,scope-bound-rule,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,4890,4,4370,True,True,0,0,42.128,101437,31488,1104,0
formal-01-scope-bound-rule-rag-only,formal run,scope-bound-rule,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,4,6,0,0,0.014495681,batch_average,45,424,3484,5,3060,True,True,0,0,44.377,103241,65536,1351,354
formal-01-scope-bound-rule-rag-with-recency,formal run,scope-bound-rule,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,5,6,0,0,0.014495681,batch_average,45,415,7083,2,6668,True,True,0,0,19.658,52571,46336,614,146
formal-01-static-reference-memory-governed,formal run,static-reference,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.014495681,batch_average,45,520,7999,2,7479,True,True,0,0,19.065,53592,48384,555,70
formal-01-static-reference-rag-only,formal run,static-reference,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.014495681,batch_average,45,424,5921,2,5497,True,True,0,0,20.398,52356,47360,532,137
formal-01-static-reference-rag-with-recency,formal run,static-reference,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.014495681,batch_average,45,415,6307,2,5892,True,True,0,0,85.98,68766,31232,505,104
formal-01-unresolved-conflict-memory-governed,formal run,unresolved-conflict,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,7444,2,6924,True,True,0,0,26.204,53398,46336,1052,158
formal-01-unresolved-conflict-rag-only,formal run,unresolved-conflict,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,424,6455,2,6031,True,True,0,0,20.541,52667,48384,725,183
formal-01-unresolved-conflict-rag-with-recency,formal run,unresolved-conflict,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,415,7897,2,7482,True,True,0,0,25.734,52862,47360,854,160
formal-02-approved-decision-memory-governed,formal run,approved-decision,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,7325,2,6805,True,True,0,0,54.51,78244,63744,1113,22
formal-02-approved-decision-rag-only,formal run,approved-decision,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,3,6,0,0,0.014495681,batch_average,45,424,11009,6,10585,True,True,0,0,82.264,94246,77824,1087,339
formal-02-approved-decision-rag-with-recency,formal run,approved-decision,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,2,6,0,0,0.014495681,batch_average,45,415,6666,2,6251,True,True,0,0,26.175,52593,31232,810,276
formal-02-historical-trace-memory-governed,formal run,historical-trace,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,5806,2,5286,True,True,0,0,95.444,89921,75008,940,12
formal-02-historical-trace-rag-only,formal run,historical-trace,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,424,4740,4,4316,True,True,0,0,82.163,89199,75008,1204,303
formal-02-historical-trace-rag-with-recency,formal run,historical-trace,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,415,6598,4,6183,True,True,0,0,72.5,101782,94464,1168,0
formal-02-scope-bound-rule-memory-governed,formal run,scope-bound-rule,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,6841,2,6321,True,True,0,0,82.413,69322,62720,852,18
formal-02-scope-bound-rule-rag-only,formal run,scope-bound-rule,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,4,6,0,0,0.014495681,batch_average,45,424,8552,7,8128,True,True,0,0,60.463,102344,64000,906,0
formal-02-scope-bound-rule-rag-with-recency,formal run,scope-bound-rule,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,5,6,0,0,0.014495681,batch_average,45,415,6269,2,5854,True,True,0,0,24.959,52365,47360,793,292
formal-02-static-reference-memory-governed,formal run,static-reference,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.014495681,batch_average,45,520,7600,3,7080,True,True,0,0,44.57,102503,62976,899,0
formal-02-static-reference-rag-only,formal run,static-reference,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.014495681,batch_average,45,424,1181,2,757,True,True,0,0,53.527,99362,62976,483,0
formal-02-static-reference-rag-with-recency,formal run,static-reference,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.014495681,batch_average,45,415,7119,3,6704,True,True,0,0,39.702,102045,62976,723,0
formal-02-unresolved-conflict-memory-governed,formal run,unresolved-conflict,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,520,7550,2,7030,True,True,0,0,23.542,53483,48384,985,155
formal-02-unresolved-conflict-rag-only,formal run,unresolved-conflict,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,424,6134,2,5710,True,True,0,0,26.597,52510,46336,952,321
formal-02-unresolved-conflict-rag-with-recency,formal run,unresolved-conflict,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.014495681,batch_average,45,415,8097,2,7682,True,True,0,0,27.346,53048,47360,1196,511
