run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,unsupported_claims,irrelevant_project_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-approved-decision-memory-governed,formal run,approved-decision,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,520,11329,7,10809,True,True,0,0,59.5,109260,99840,1196,245
formal-01-approved-decision-rag-only,formal run,approved-decision,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,5,6,0,0,0.053173704,batch_average,45,424,9547,7,9123,True,True,0,0,61.5,109774,89600,1410,553
formal-01-approved-decision-rag-with-recency,formal run,approved-decision,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,1,6,0,0,0.053173704,batch_average,45,415,12773,7,12358,True,True,0,0,66.938,112815,79360,1608,630
formal-01-historical-trace-memory-governed,formal run,historical-trace,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,520,11804,9,11284,True,True,0,0,80.25,130670,112896,1888,479
formal-01-historical-trace-rag-only,formal run,historical-trace,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,424,10092,4,9668,True,True,2,8448,80.25,139198,127232,1278,417
formal-01-historical-trace-rag-with-recency,formal run,historical-trace,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,415,11541,8,11126,True,True,0,0,80.25,148012,136192,1368,267
formal-01-scope-bound-rule-memory-governed,formal run,scope-bound-rule,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,520,9304,6,8784,True,True,0,0,59.844,90585,71424,1294,270
formal-01-scope-bound-rule-rag-only,formal run,scope-bound-rule,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,4,6,0,0,0.053173704,batch_average,45,424,9242,8,8818,True,True,0,0,80.265,128038,94464,1625,569
formal-01-scope-bound-rule-rag-with-recency,formal run,scope-bound-rule,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,415,10745,4,10330,True,True,2,8580,66.969,125785,112128,1129,322
formal-01-static-reference-memory-governed,formal run,static-reference,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.053173704,batch_average,45,520,9033,5,8513,True,True,3,6844,60.797,138852,107776,1188,230
formal-01-static-reference-rag-only,formal run,static-reference,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.053173704,batch_average,45,424,8717,7,8293,True,True,0,0,59.078,125937,92416,971,175
formal-01-static-reference-rag-with-recency,formal run,static-reference,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,4,4,0,0,0.053173704,batch_average,45,415,9097,8,8682,True,True,0,0,67.0,144593,108544,1022,286
formal-01-unresolved-conflict-memory-governed,formal run,unresolved-conflict,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,520,9098,8,8578,True,True,0,0,80.282,127678,92416,1610,357
formal-01-unresolved-conflict-rag-only,formal run,unresolved-conflict,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,424,10307,8,9883,True,True,0,0,80.234,107904,88576,1638,635
formal-01-unresolved-conflict-rag-with-recency,formal run,unresolved-conflict,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,415,10037,11,9622,True,True,0,0,80.891,125520,92416,1605,476
formal-02-approved-decision-memory-governed,formal run,approved-decision,memory-governed,gpt-5.6-sol,medium,codex-cli 0.145.0,6,6,0,0,0.053173704,batch_average,45,520,9091,6,8571,True,True,0,0,66.297,146382,138240,1026,120
formal-02-approved-decision-rag-only,formal run,approved-decision,rag-only,gpt-5.6-sol,medium,codex-cli 0.145.0,5,6,0,0,0.053173704,batch_average,45,424,11510,12,11086,True,True,0,0,100.547,152927,126976,2616,1392
formal-02-approved-decision-rag-with-recency,formal run,approved-decision,rag-with-recency,gpt-5.6-sol,medium,codex-cli 0.145.0,1,6,0,0,0.053173704,batch_average,45,415,12733,13,12318,True,True,0,0,105.75,149353,137216,2326,1208
