run_name,task,condition,platform,model,reasoning_effort,codex_version,score,max_score,protocol_valid,unsupported_claims,irrelevant_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_metric_coverage_complete,workspace_output_bytes_reliable,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-active-decision-flat-index,active-decision,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,5080,4,4524,True,True,25.309,44886,42368,1622,831
formal-01-active-decision-source-only,active-decision,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,5466,12,4960,True,True,26.047,33009,29952,2602,1520
formal-01-active-decision-state-projection,active-decision,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,6246,4,5668,True,True,44.778,46905,44032,3820,2978
formal-01-pending-observation-flat-index,pending-observation,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2183,4,1627,True,True,17.556,42752,40704,941,400
formal-01-pending-observation-source-only,pending-observation,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,3293,6,2787,True,True,23.711,53665,51328,1339,588
formal-01-pending-observation-state-projection,pending-observation,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,3367,5,2789,True,True,21.338,43433,41088,1333,719
formal-01-scope-boundary-flat-index,scope-boundary,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2691,4,2135,True,True,18.093,43312,41216,1097,613
formal-01-scope-boundary-source-only,scope-boundary,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,3995,6,3489,True,True,23.715,65589,62976,1077,483
formal-01-scope-boundary-state-projection,scope-boundary,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,4341,6,3763,True,True,34.376,68832,66048,2413,1714
formal-01-superseded-rule-flat-index,superseded-rule,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2230,5,1674,True,True,19.794,54012,51712,875,367
formal-01-superseded-rule-source-only,superseded-rule,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,2712,6,2206,True,True,21.64,43433,41216,1367,644
formal-01-superseded-rule-state-projection,superseded-rule,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,6005,5,5427,True,True,23.909,44535,41472,1495,1011
formal-01-unresolved-conflict-flat-index,unresolved-conflict,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2843,4,2287,True,True,19.155,43014,40704,1013,585
formal-01-unresolved-conflict-source-only,unresolved-conflict,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,6202,3,5696,True,True,16.236,43721,40832,708,293
formal-01-unresolved-conflict-state-projection,unresolved-conflict,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,3898,5,3320,True,True,19.396,43482,40960,1244,683
formal-02-active-decision-flat-index,active-decision,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,5258,5,4702,True,True,29.741,56417,53632,2141,1495
formal-02-active-decision-source-only,active-decision,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,4711,9,4205,True,True,52.806,54734,51968,3862,3055
formal-02-active-decision-state-projection,active-decision,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,4787,6,4209,True,True,49.99,68978,66176,3477,2539
formal-02-pending-observation-flat-index,pending-observation,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2594,5,2038,True,True,21.446,54072,51840,735,216
formal-02-pending-observation-source-only,pending-observation,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,5206,12,4700,True,True,26.633,54946,51840,1784,972
formal-02-pending-observation-state-projection,pending-observation,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,3223,4,2645,True,True,24.203,54761,52480,1448,937
formal-02-scope-boundary-flat-index,scope-boundary,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2146,4,1590,True,True,16.4,42938,40832,805,317
formal-02-scope-boundary-source-only,scope-boundary,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,7132,5,6626,True,True,21.719,55172,51456,1227,691
formal-02-scope-boundary-state-projection,scope-boundary,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,6064,6,5486,True,True,20.879,56564,53632,1240,671
formal-02-superseded-rule-flat-index,superseded-rule,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2099,3,1543,True,True,12.97,31523,29568,564,153
formal-02-superseded-rule-source-only,superseded-rule,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,4307,3,3801,True,True,17.864,43052,40704,884,488
formal-02-superseded-rule-state-projection,superseded-rule,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,3749,4,3171,True,True,20.083,43555,41344,983,558
formal-02-unresolved-conflict-flat-index,unresolved-conflict,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,3074,4,2518,True,True,16.639,42933,40704,781,326
formal-02-unresolved-conflict-source-only,unresolved-conflict,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,6219,6,5713,True,True,19.41,44157,41216,1300,640
formal-02-unresolved-conflict-state-projection,unresolved-conflict,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,4271,6,3693,True,True,23.973,55809,53120,1473,806
formal-03-active-decision-flat-index,active-decision,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,5574,7,5018,True,True,21.11,44797,41856,1373,438
formal-03-active-decision-source-only,active-decision,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,5811,10,5305,True,True,66.8,82582,79232,6076,5116
formal-03-active-decision-state-projection,active-decision,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,7026,11,6448,True,True,28.069,68088,64640,1711,692
formal-03-pending-observation-flat-index,pending-observation,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2421,4,1865,True,True,18.197,42786,40704,1008,524
formal-03-pending-observation-source-only,pending-observation,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,5696,13,5190,True,True,36.029,67745,64256,2583,1742
formal-03-pending-observation-state-projection,pending-observation,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,3637,5,3059,True,True,23.702,43773,41472,1533,1035
formal-03-scope-boundary-flat-index,scope-boundary,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2772,4,2216,True,True,17.856,43068,41088,1053,577
formal-03-scope-boundary-source-only,scope-boundary,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,5647,7,5141,True,True,17.139,44491,41600,940,340
formal-03-scope-boundary-state-projection,scope-boundary,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,5915,7,5337,True,True,29.389,80349,77056,1695,1005
formal-03-superseded-rule-flat-index,superseded-rule,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,2951,4,2395,True,True,16.667,42933,40704,891,380
formal-03-superseded-rule-source-only,superseded-rule,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,4807,5,4301,True,True,15.266,32268,29824,967,449
formal-03-superseded-rule-state-projection,superseded-rule,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,4272,7,3694,True,True,21.777,55676,52992,1244,605
formal-03-unresolved-conflict-flat-index,unresolved-conflict,flat-index,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,556,3072,4,2516,True,True,21.168,54554,51968,1080,685
formal-03-unresolved-conflict-source-only,unresolved-conflict,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,506,5711,13,5205,True,True,27.146,67468,64128,1692,804
formal-03-unresolved-conflict-state-projection,unresolved-conflict,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,True,0,0,1.111111,batch_average,45,578,6318,7,5740,True,True,25.713,67094,63872,1362,676
