run_name,task,condition,platform,model,reasoning_effort,codex_version,score,max_score,protocol_valid,unsupported_claims,irrelevant_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_metric_coverage_complete,workspace_output_bytes_reliable,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-active-decision-flat-index,active-decision,flat-index,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,556,2355,3,1799,True,True,32.239,47644,34048,811,184
formal-01-active-decision-source-only,active-decision,source-only,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,506,3168,6,2662,True,True,64.702,81483,61184,1642,316
formal-01-active-decision-state-projection,active-decision,state-projection,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,578,4313,6,3735,True,True,49.432,64900,38912,1215,356
formal-01-pending-observation-flat-index,pending-observation,flat-index,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,556,2147,3,1591,True,True,26.64,47548,34048,642,148
formal-01-pending-observation-source-only,pending-observation,source-only,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,506,1603,3,1097,True,True,28.365,47095,22784,660,191
formal-01-pending-observation-state-projection,pending-observation,state-projection,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,578,3558,4,2980,True,True,45.833,64446,52224,900,281
formal-01-scope-boundary-flat-index,scope-boundary,flat-index,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,556,2110,3,1554,True,True,25.947,47581,34048,614,76
formal-01-scope-boundary-source-only,scope-boundary,source-only,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,506,1902,4,1396,True,True,45.318,63507,33792,814,141
formal-01-scope-boundary-state-projection,scope-boundary,state-projection,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,578,3536,4,2958,True,True,40.064,64498,40960,783,144
formal-01-superseded-rule-flat-index,superseded-rule,flat-index,macos,gpt-5.6-sol,medium,codex-cli 0.145.0,5,5,True,0,0,1.036361,batch_average,45,556,2099,3,1543,True,True,23.691,47490,34048,639,101
