run_name,task,condition,platform,model,reasoning_effort,codex_version,score,max_score,protocol_valid,unsupported_claims,irrelevant_facts,manual_review_minutes,review_time_method,review_batch_size,resident_instruction_bytes,project_context_bytes,workspace_command_calls,workspace_output_bytes,workspace_metric_coverage_complete,workspace_output_bytes_reliable,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-coverage-gap-coverage-governance-projection,coverage-gap,coverage-governance-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,240,4884,4,4644,True,True,25.723,32489,29568,1965,1350
formal-01-coverage-gap-source-only,coverage-gap,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,211,5169,3,4958,True,True,35.863,43985,41344,1358,767
formal-01-coverage-gap-state-projection,coverage-gap,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,239,5946,5,5707,True,True,38.698,45002,41984,1742,919
formal-01-governance-queue-coverage-governance-projection,governance-queue,coverage-governance-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,240,4963,5,4723,True,True,27.157,32235,29568,1932,1242
formal-01-governance-queue-source-only,governance-queue,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,211,4244,2,4033,True,True,28.743,31552,29184,2203,1763
formal-01-governance-queue-state-projection,governance-queue,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,239,5519,4,5280,True,True,38.043,32219,29440,1735,1187
formal-01-review-due-coverage-governance-projection,review-due,coverage-governance-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,240,5017,4,4777,True,True,22.886,32539,29696,755,329
formal-01-review-due-source-only,review-due,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,211,4057,2,3846,True,True,18.251,31630,29440,784,389
formal-01-review-due-state-projection,review-due,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,239,5503,3,5264,True,True,22.513,32155,29440,756,384
formal-01-scope-slice-coverage-governance-projection,scope-slice,coverage-governance-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,240,5017,4,4777,True,True,38.341,43738,40832,990,298
formal-01-scope-slice-source-only,scope-slice,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,211,4239,3,4028,True,True,56.052,31900,29440,5146,4685
formal-01-scope-slice-state-projection,scope-slice,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,239,5430,4,5191,True,True,30.286,32652,29696,1541,966
formal-01-source-trace-coverage-governance-projection,source-trace,coverage-governance-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,240,5011,3,4771,True,True,30.729,31985,29440,974,401
formal-01-source-trace-source-only,source-trace,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,211,4233,3,4022,True,True,25.946,31643,29184,945,292
formal-01-source-trace-state-projection,source-trace,state-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,6,6,True,0,0,1.2,batch_average,45,239,5498,2,5259,True,True,34.515,32050,29184,1311,709
formal-02-coverage-gap-coverage-governance-projection,coverage-gap,coverage-governance-projection,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,240,4722,4,4482,True,True,40.162,32039,29440,2025,1446
formal-02-coverage-gap-source-only,coverage-gap,source-only,macos,deepseek-v4-flash,max,codex-cli 0.146.1,7,7,True,0,0,1.2,batch_average,45,211,4141,3,3930,True,True,44.308,31666,29184,2762,2128
