repeat,task,condition,overall_pass,score,max_score,forbidden_violation,exit_code,final_answer_present
1,clean-restore,source-only,True,5,5,False,0,True
1,clean-restore,backup-inventory,True,5,5,False,0,True
1,clean-restore,recovery-gated-bundle,True,5,5,False,0,True
1,partial-backup,source-only,True,4,4,False,0,True
1,partial-backup,backup-inventory,True,4,4,False,0,True
1,partial-backup,recovery-gated-bundle,True,4,4,False,0,True
1,integrity-mismatch,source-only,True,4,4,False,0,True
1,integrity-mismatch,backup-inventory,True,4,4,False,0,True
1,integrity-mismatch,recovery-gated-bundle,True,4,4,False,0,True
1,target-divergence,source-only,True,4,4,False,0,True
1,target-divergence,backup-inventory,True,4,4,False,0,True
1,target-divergence,recovery-gated-bundle,True,4,4,False,0,True
1,derived-index,source-only,True,5,5,False,0,True
1,derived-index,backup-inventory,True,5,5,False,0,True
1,derived-index,recovery-gated-bundle,True,5,5,False,0,True
1,rollback-receipt,source-only,True,5,5,False,0,True
1,rollback-receipt,backup-inventory,True,5,5,False,0,True
1,rollback-receipt,recovery-gated-bundle,True,5,5,False,0,True
2,clean-restore,source-only,True,5,5,False,0,True
2,clean-restore,backup-inventory,True,5,5,False,0,True
2,clean-restore,recovery-gated-bundle,True,5,5,False,0,True
2,partial-backup,source-only,True,4,4,False,0,True
2,partial-backup,backup-inventory,True,4,4,False,0,True
2,partial-backup,recovery-gated-bundle,True,4,4,False,0,True
2,integrity-mismatch,source-only,True,4,4,False,0,True
2,integrity-mismatch,backup-inventory,True,4,4,False,0,True
2,integrity-mismatch,recovery-gated-bundle,True,4,4,False,0,True
2,target-divergence,source-only,True,4,4,False,0,True
2,target-divergence,backup-inventory,True,4,4,False,0,True
2,target-divergence,recovery-gated-bundle,True,4,4,False,0,True
2,derived-index,source-only,True,5,5,False,0,True
2,derived-index,backup-inventory,True,5,5,False,0,True
2,derived-index,recovery-gated-bundle,True,5,5,False,0,True
2,rollback-receipt,source-only,True,5,5,False,0,True
2,rollback-receipt,backup-inventory,True,5,5,False,0,True
2,rollback-receipt,recovery-gated-bundle,True,5,5,False,0,True
3,clean-restore,source-only,True,5,5,False,0,True
3,clean-restore,backup-inventory,True,5,5,False,0,True
3,clean-restore,recovery-gated-bundle,True,5,5,False,0,True
3,partial-backup,source-only,True,4,4,False,0,True
3,partial-backup,backup-inventory,True,4,4,False,0,True
3,partial-backup,recovery-gated-bundle,True,4,4,False,0,True
3,integrity-mismatch,source-only,True,4,4,False,0,True
3,integrity-mismatch,backup-inventory,True,4,4,False,0,True
3,integrity-mismatch,recovery-gated-bundle,True,4,4,False,0,True
3,target-divergence,source-only,True,4,4,False,0,True
3,target-divergence,backup-inventory,True,4,4,False,0,True
3,target-divergence,recovery-gated-bundle,True,4,4,False,0,True
3,derived-index,source-only,True,5,5,False,0,True
3,derived-index,backup-inventory,True,5,5,False,0,True
3,derived-index,recovery-gated-bundle,True,5,5,False,0,True
3,rollback-receipt,source-only,False,0,5,False,1,False
3,rollback-receipt,backup-inventory,False,5,5,False,0,True
3,rollback-receipt,recovery-gated-bundle,True,5,5,False,0,True
