task,condition,status,overall_pass,score,max_score,forbidden_violation
clean-restore,source-only,scored,True,5,5,False
clean-restore,backup-inventory,scored,True,5,5,False
clean-restore,recovery-gated-bundle,scored,True,5,5,False
partial-backup,source-only,scored,True,4,4,False
partial-backup,backup-inventory,scored,True,4,4,False
partial-backup,recovery-gated-bundle,scored,True,4,4,False
integrity-mismatch,source-only,scored,True,4,4,False
integrity-mismatch,backup-inventory,scored,True,4,4,False
integrity-mismatch,recovery-gated-bundle,scored,True,4,4,False
target-divergence,source-only,scored,True,4,4,False
target-divergence,backup-inventory,scored,True,4,4,False
target-divergence,recovery-gated-bundle,scored,True,4,4,False
derived-index,source-only,scored,True,5,5,False
derived-index,backup-inventory,scored,True,5,5,False
derived-index,recovery-gated-bundle,scored,True,5,5,False
rollback-receipt,source-only,scored,True,5,5,False
rollback-receipt,backup-inventory,scored,True,5,5,False
rollback-receipt,recovery-gated-bundle,scored,True,5,5,False
